Image,Name,Damage,Damage type,Knockback,Critical chance,Use time,Rarity,Autoswing,HM,,ID,Internal name
Rocket Launcher item sprite,Rocket Launcher,55,Ranged,4,4%,30,Yellow (Rarity level: 8),✔️,✔️,8,759,RocketLauncher
Rockfish item sprite,Rockfish,24,Melee,6,4%,24,Orange (Rarity level: 3),✔️,❌,150,2320,Rockfish
Rotten Egg item sprite,Rotten Egg,13,Ranged,6.5,4%,19,White (Rarity level: 0),❌,❌,No value,1809,RottenEgg
Ruby Staff item sprite,Ruby Staff,21,Magic,4.75,4%,28,Blue (Rarity level: 1),✔️,❌,40,743,RubyStaff
Ruler item sprite,Ruler,12,Melee,0.5,4%,20,Blue (Rarity level: 1),✔️,❌,2,486,Ruler
S.D.M.G. item sprite,S.D.M.G.,85,Ranged,2.5,14%,5,Red (Rarity level: 10),✔️,✔️,15,1553,SDMG
Sandgun item sprite,Sandgun,30,Ranged,5,4%,16,Green (Rarity level: 2),✔️,❌,20,266,Sandgun
Sanguine Staff item sprite,Sanguine Staff,35,Summon,3,-,36,Light Red (Rarity level: 4),✔️,✔️,5,4269,SanguineStaff
Sapphire Staff item sprite,Sapphire Staff,18,Magic,4,4%,34,Blue (Rarity level: 1),✔️,❌,20,741,SapphireStaff
Sawtooth Shark item sprite,Sawtooth Shark,13,Melee,2.25,4%,15,Orange (Rarity level: 3),❌,❌,150,2342,SawtoothShark
Scarab Bomb item sprite,Scarab Bomb,100,-,8,-,25,Blue (Rarity level: 1),❌,❌,3,4423,ScarabBomb
Scourge of the Corruptor item sprite,Scourge of the Corruptor,70,Melee,5,4%,20,Yellow (Rarity level: 8),✔️,✔️,20,1571,ScourgeoftheCorruptor
Seedler item sprite,Seedler,50,Melee,6,4%,23,Pink (Rarity level: 5),✔️,✔️,10,3018,Seedler
Sergeant United Shield item sprite,Sergeant United Shield,80,Melee,2,4%,36,Pink (Rarity level: 5),❌,✔️,7,4760,BouncingShield
Shadewood Bow item sprite,Shadewood Bow,8,Ranged,0,4%,28,White (Rarity level: 0),❌,❌,20,923,ShadewoodBow
Shadewood Hammer item sprite,Shadewood Hammer,7,Melee,5.5,4%,30,White (Rarity level: 0),✔️,❌,10,922,ShadewoodHammer
Shadewood Sword item sprite,Shadewood Sword,11,Melee,6,4%,19,White (Rarity level: 0),❌,❌,20,921,ShadewoodSword
Shadow Jousting Lance item sprite,Shadow Jousting Lance,130,Melee,14,4%,24,Yellow (Rarity level: 8),❌,✔️,10,4789,ShadowJoustingLance
Shadowbeam Staff item sprite,Shadowbeam Staff,80,Magic,3.25,4%,15,Yellow (Rarity level: 8),✔️,✔️,6,1444,ShadowbeamStaff
Shadowflame Bow item sprite,Shadowflame Bow,47,Ranged,4.5,7%,20,Pink (Rarity level: 5),✔️,✔️,2,3052,ShadowFlameBow
Shadowflame Hex Doll item sprite,Shadowflame Hex Doll,32,Magic,3.75,7%,21,Pink (Rarity level: 5),✔️,✔️,2,3053,ShadowFlameHexDoll
Shadowflame Knife item sprite,Shadowflame Knife,43,Melee,5.75,7%,12,Pink (Rarity level: 5),✔️,✔️,2,3054,ShadowFlameKnife
Shotgun item sprite,Shotgun,24,Ranged,6.5,4%,45,Light Red (Rarity level: 4),❌,✔️,5,534,Shotgun
Shroomerang item sprite,Shroomerang,23,Melee,7,4%,20,Blue (Rarity level: 1),❌,❌,60,4764,Shroomerang
Shroomite Digging Claw item sprite,Shroomite Digging Claw,45,Melee,6,4%,12,Yellow (Rarity level: 8),✔️,✔️,4,2176,ShroomiteDiggingClaw
Shuriken item sprite,Shuriken,10,Ranged,0,4%,15,White (Rarity level: 0),❌,❌,3,42,Shuriken
Sickle item sprite,Sickle,9,Melee,2.25,4%,24,White (Rarity level: 0),✔️,❌,12,1786,Sickle
Silver Axe item sprite,Silver Axe,6,Melee,4.5,4%,26,White (Rarity level: 0),✔️,❌,8,3512,SilverAxe
Silver Bow item sprite,Silver Bow,9,Ranged,0,4%,27,White (Rarity level: 0),❌,❌,7,3510,SilverBow
Silver Broadsword item sprite,Silver Broadsword,14,Melee,6,4%,20,White (Rarity level: 0),❌,❌,9,3514,SilverBroadsword
Silver Hammer item sprite,Silver Hammer,9,Melee,5.5,4%,29,White (Rarity level: 0),✔️,❌,8,3511,SilverHammer
Silver Pickaxe item sprite,Silver Pickaxe,6,Melee,2,4%,19,White (Rarity level: 0),✔️,❌,10,3515,SilverPickaxe
Silver Shortsword item sprite,Silver Shortsword,9,Melee,4,4%,12,White (Rarity level: 0),❌,❌,7,3513,SilverShortsword
Sky Dragon's Fury item sprite,Sky Dragon's Fury,140,Melee,5,4%,30,Yellow (Rarity level: 8),✔️,✔️,5,3858,MonkStaffT3
Sky Fracture item sprite,Sky Fracture,38,Magic,6,24%,12,Light Red (Rarity level: 4),✔️,✔️,6,3787,SkyFracture
Slap Hand item sprite,Slap Hand,55,Melee,20,19%,20,Light Red (Rarity level: 4),✔️,✔️,5,3258,SlapHand
Sleepy Octopod item sprite,Sleepy Octopod,50,Melee,7,4%,30,Pink (Rarity level: 5),✔️,✔️,1,3835,MonkStaffT1
Slime Spear item sprite,Slime Spear,9,Melee,6.5,4%,24,White (Rarity level: 0),❌,❌,50,5687,SlimeSpear
Slime Staff item sprite,Slime Staff,8,Summon,2,-,28,Light Red (Rarity level: 4),✔️,❌,2,1309,SlimeStaff
Slime Whip item sprite,Slime Whip,12,Summon,1,-,30,Blue (Rarity level: 1),❌,❌,50,5688,SlimeWhip
Snapthorn item sprite,Snapthorn,18,Summon,1.5,-,30,Orange (Rarity level: 3),❌,❌,1,4913,ThornWhip
Sniper Rifle item sprite,Sniper Rifle,200,Ranged,8,29%,36,Yellow (Rarity level: 8),❌,✔️,8,1254,SniperRifle
Snowball item sprite,Snowball,8,Ranged,5.75,4%,19,White (Rarity level: 0),❌,❌,No value,949,Snowball
Snowball Cannon item sprite,Snowball Cannon,10,Ranged,1,4%,19,Blue (Rarity level: 1),✔️,❌,2,1319,SnowballCannon
Snowball Launcher item sprite,Snowball Launcher,,-,,-,15,Green (Rarity level: 2),✔️,❌,1,951,SnowballLauncher
Snowman Cannon item sprite,Snowman Cannon,67,Ranged,4,4%,15,Yellow (Rarity level: 8),✔️,✔️,9,1946,SnowmanCannon
Solar Eruption item sprite,Solar Eruption,105,Melee,2,4%,20,Red (Rarity level: 10),✔️,✔️,10,3473,SolarEruption
Solar Flare Axe item sprite,Solar Flare Axe,100,Melee,6,4%,25,Red (Rarity level: 10),✔️,✔️,6,2782,SolarFlareAxe
Solar Flare Chainsaw item sprite,Solar Flare Chainsaw,80,Melee,4,4%,15,Red (Rarity level: 10),❌,✔️,6,2783,SolarFlareChainsaw
Solar Flare Drill item sprite,Solar Flare Drill,50,Melee,0.5,4%,15,Red (Rarity level: 10),❌,✔️,7,2784,SolarFlareDrill
Solar Flare Hamaxe item sprite,Solar Flare Hamaxe,60,Melee,7,4%,28,Red (Rarity level: 10),✔️,✔️,5,3522,LunarHamaxeSolar
Solar Flare Hammer item sprite,Solar Flare Hammer,110,Melee,7,4%,30,Red (Rarity level: 10),✔️,✔️,8,2785,SolarFlareHammer
Solar Flare Pickaxe item sprite,Solar Flare Pickaxe,80,Melee,5.5,4%,12,Red (Rarity level: 10),✔️,✔️,7,2786,SolarFlarePickaxe
Soulscourge item sprite,Soulscourge,17,Summon,1.35,-,30,Blue (Rarity level: 1),❌,❌,1,5474,CorruptWhip
Space Gun item sprite,Space Gun,20,Magic,0.75,4%,17,Blue (Rarity level: 1),✔️,❌,40,127,SpaceGun
Spear item sprite,Spear,8,Melee,6.5,4%,31,White (Rarity level: 0),❌,❌,2,280,Spear
Spectre Hamaxe item sprite,Spectre Hamaxe,60,Melee,7,4%,28,Yellow (Rarity level: 8),✔️,✔️,432,1507,SpectreHamaxe
Spectre Pickaxe item sprite,Spectre Pickaxe,32,Melee,5.25,4%,24,Yellow (Rarity level: 8),✔️,✔️,432,1506,SpectrePickaxe
Spectre Staff item sprite,Spectre Staff,65,Magic,6,4%,24,Yellow (Rarity level: 8),✔️,✔️,6,1446,SpectreStaff
Spider Staff item sprite,Spider Staff,26,Summon,3,-,36,Light Red (Rarity level: 4),✔️,✔️,1,2551,SpiderStaff
Spiky Ball item sprite,Spiky Ball,16,Ranged,1,4%,15,White (Rarity level: 0),✔️,❌,16,161,SpikyBall
Spinal Tap item sprite,Spinal Tap,29,Summon,2,-,30,Green (Rarity level: 2),❌,❌,150,5074,BoneWhip
Spirit Flame item sprite,Spirit Flame,85,Magic,5,4%,22,Light Red (Rarity level: 4),✔️,✔️,1,3779,SpiritFlame
Staff of Earth item sprite,Staff of Earth,125,Magic,7.5,24%,24,Lime (Rarity level: 7),❌,✔️,7,1296,StaffofEarth
Staff of Regrowth item sprite,Staff of Regrowth,7,Melee,3,4%,25,Orange (Rarity level: 3),✔️,❌,50,213,StaffofRegrowth
Staff of the Frost Hydra item sprite,Staff of the Frost Hydra,100,Summon,7.5,-,30,Yellow (Rarity level: 8),❌,✔️,20,1572,StaffoftheFrostHydra
Stake Launcher item sprite,Stake Launcher,75,Ranged,6.5,14%,12,Yellow (Rarity level: 8),✔️,✔️,10,1835,StakeLauncher
Star Anise item sprite,Star Anise,14,Ranged,0,4%,15,White (Rarity level: 0),❌,❌,5,1913,StarAnise
Star Cannon item sprite,Star Cannon,55,Ranged,3,4%,12,Green (Rarity level: 2),✔️,❌,10,197,StarCannon
Star Wrath item sprite,Star Wrath,170,Melee,6.5,4%,16,Red (Rarity level: 10),✔️,✔️,20,3065,StarWrath
Starcrash item sprite,Starcrash,18,Summon,1.5,-,30,Green (Rarity level: 2),❌,❌,250,5476,MeteorWhip
Stardust Axe item sprite,Stardust Axe,100,Melee,6,4%,25,Red (Rarity level: 10),✔️,✔️,6,3462,StardustAxe
Stardust Cell Staff item sprite,Stardust Cell Staff,60,Summon,2,-,36,Red (Rarity level: 10),✔️,✔️,10,3474,StardustCellStaff
Stardust Chainsaw item sprite,Stardust Chainsaw,80,Melee,4,4%,15,Red (Rarity level: 10),❌,✔️,6,3463,StardustChainsaw
Stardust Dragon Staff item sprite,Stardust Dragon Staff,40,Summon,2,-,36,Red (Rarity level: 10),✔️,✔️,10,3531,StardustDragonStaff
Stardust Drill item sprite,Stardust Drill,50,Melee,0.5,4%,15,Red (Rarity level: 10),❌,✔️,7,3464,StardustDrill
Stardust Hamaxe item sprite,Stardust Hamaxe,60,Melee,7,4%,28,Red (Rarity level: 10),✔️,✔️,5,3525,LunarHamaxeStardust
Stardust Hammer item sprite,Stardust Hammer,110,Melee,7,4%,30,Red (Rarity level: 10),✔️,✔️,8,3465,StardustHammer
Stardust Pickaxe item sprite,Stardust Pickaxe,80,Melee,5.5,4%,12,Red (Rarity level: 10),✔️,✔️,7,3466,StardustPickaxe
Starfury item sprite,Starfury,25,Melee,5,4%,20,Green (Rarity level: 2),❌,❌,1,65,Starfury
Starlight item sprite,Starlight,80,Melee,4,14%,18,Yellow (Rarity level: 8),✔️,✔️,5,4923,PiercingStarlight
Stellar Tune item sprite,Stellar Tune,85,Magic,1.5,24%,12,Pink (Rarity level: 5),✔️,✔️,10,4715,SparkleGuitar
Sticky Bomb item sprite,Sticky Bomb,100,-,8,-,25,White (Rarity level: 0),❌,❌,1,235,StickyBomb
Sticky Dirt Bomb item sprite,Sticky Dirt Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,1,4909,DirtStickyBomb
Sticky Dynamite item sprite,Sticky Dynamite,250,-,10,-,40,Blue (Rarity level: 1),❌,❌,4,2896,StickyDynamite
Sticky Grenade item sprite,Sticky Grenade,60,Ranged,8,4%,45,White (Rarity level: 0),❌,❌,15,2586,StickyGrenade
Sticky Power Bomb item sprite,Sticky Power Bomb,200,-,9,-,40,Light Red (Rarity level: 4),❌,❌,2,5595,SuperStickyBomb
Storm Spear item sprite,Storm Spear,14,Melee,6,4%,28,Blue (Rarity level: 1),❌,❌,30,4061,ThunderSpear
Stylish Scissors item sprite,Stylish Scissors,14,Melee,5,4%,13,Green (Rarity level: 2),✔️,❌,50,3352,StylistKilLaKillScissorsIWish
Stynger item sprite,Stynger,45,Ranged,5,4%,22,Lime (Rarity level: 7),✔️,✔️,7,1258,Stynger
Sunfury item sprite,Sunfury,64,Melee,6.75,11%,45,Orange (Rarity level: 3),❌,❌,250,220,Sunfury
Super Star Shooter item sprite,Super Star Shooter,60,Ranged,5,4%,18,Orange (Rarity level: 3),✔️,✔️,10,4060,SuperStarCannon
Swordfish item sprite,Swordfish,19,Melee,4.25,4%,20,Green (Rarity level: 2),❌,❌,50,2332,Swordfish
Tactical Shotgun item sprite,Tactical Shotgun,36,Ranged,7,4%,34,Yellow (Rarity level: 8),✔️,✔️,8,679,TacticalShotgun
Tempest Staff item sprite,Tempest Staff,50,Summon,2,-,36,Yellow (Rarity level: 8),✔️,✔️,5,2621,TempestStaff
Tendon Bow item sprite,Tendon Bow,19,Ranged,1,4%,30,Blue (Rarity level: 1),❌,❌,36,796,TendonBow
Tentacle Spike item sprite,Tentacle Spike,20,Melee,5.5,4%,21,Green (Rarity level: 2),❌,❌,50,5094,TentacleSpike
Terra Blade item sprite,Terra Blade,85,Melee,6.5,4%,18,Yellow (Rarity level: 8),✔️,✔️,20,757,TerraBlade
Terragrim item sprite,Terragrim,17,Melee,3,4%,25,Green (Rarity level: 2),❌,❌,5,4144,Terragrim
Terraprisma item sprite,Terraprisma,90,Summon,4,-,36,Pink (Rarity level: 5),✔️,✔️,20,5005,EmpressBlade
Terrarian item sprite,Terrarian,190,Melee,6.5,14%,25,Red (Rarity level: 10),❌,✔️,10,3389,Terrarian
The Axe item sprite,The Axe,72,Melee,7.25,4%,23,Yellow (Rarity level: 8),✔️,✔️,10,1305,TheAxe
The Bee's Knees item sprite,The Bee's Knees,23,Ranged,3,4%,23,Orange (Rarity level: 3),❌,❌,2,2888,BeesKnees
The Breaker item sprite,The Breaker,24,Melee,6,4%,45,Blue (Rarity level: 1),✔️,❌,30,104,TheBreaker
The Eye of Cthulhu item sprite,The Eye of Cthulhu,115,Melee,3.5,4%,25,Yellow (Rarity level: 8),❌,✔️,1250,3292,TheEyeOfCthulhu
The Horseman's Blade item sprite,The Horseman's Blade,150,Melee,7.5,4%,26,Yellow (Rarity level: 8),✔️,✔️,10,1826,TheHorsemansBlade
The Meatball item sprite,The Meatball,34,Melee,5.5,4%,45,Blue (Rarity level: 1),❌,❌,54,801,TheMeatball
The Rotted Fork item sprite,The Rotted Fork,17,Melee,5,4%,31,Blue (Rarity level: 1),❌,❌,150,802,TheRottedFork
The Undertaker item sprite,The Undertaker,19,Ranged,2,4%,20,Blue (Rarity level: 1),❌,❌,150,800,TheUndertaker
Thorn Chakram item sprite,Thorn Chakram,25,Melee,8,4%,15,Orange (Rarity level: 3),❌,❌,1,191,ThornChakram
Throwing Knife item sprite,Throwing Knife,12,Ranged,2,4%,15,White (Rarity level: 0),❌,❌,10,279,ThrowingKnife
Thunder Zapper item sprite,Thunder Zapper,24,Magic,3,4%,17,Blue (Rarity level: 1),✔️,❌,30,4062,ThunderStaff
Tin Axe item sprite,Tin Axe,4,Melee,4.5,4%,28,White (Rarity level: 0),✔️,❌,120,3500,TinAxe
Tin Bow item sprite,Tin Bow,7,Ranged,0,4%,28,White (Rarity level: 0),❌,❌,15,3498,TinBow
Tin Broadsword item sprite,Tin Broadsword,10,Melee,5.5,4%,20,White (Rarity level: 0),❌,❌,135,3502,TinBroadsword
Tin Hammer item sprite,Tin Hammer,6,Melee,5.5,4%,31,White (Rarity level: 0),✔️,❌,120,3499,TinHammer
Tin Pickaxe item sprite,Tin Pickaxe,5,Melee,2,4%,21,White (Rarity level: 0),✔️,❌,150,3503,TinPickaxe
Tin Shortsword item sprite,Tin Shortsword,7,Melee,4,4%,12,White (Rarity level: 0),❌,❌,15,3501,TinShortsword
Titanium Chainsaw item sprite,Titanium Chainsaw,34,Melee,4.6,4%,15,Light Red (Rarity level: 4),❌,✔️,252,1204,TitaniumChainsaw
Titanium Drill item sprite,Titanium Drill,27,Melee,0.5,4%,15,Light Red (Rarity level: 4),❌,✔️,252,1203,TitaniumDrill
Titanium Pickaxe item sprite,Titanium Pickaxe,27,Melee,5,4%,25,Light Red (Rarity level: 4),✔️,✔️,252,1202,TitaniumPickaxe
Titanium Repeater item sprite,Titanium Repeater,43,Ranged,2.5,4%,17,Light Red (Rarity level: 4),✔️,✔️,280,1201,TitaniumRepeater
Titanium Sword item sprite,Titanium Sword,61,Melee,6,4%,20,Light Red (Rarity level: 4),✔️,✔️,322,1199,TitaniumSword
Titanium Trident item sprite,Titanium Trident,48,Melee,6.2,4%,23,Light Red (Rarity level: 4),❌,✔️,210,1200,TitaniumTrident
Titanium Waraxe item sprite,Titanium Waraxe,44,Melee,7.5,4%,35,Light Red (Rarity level: 4),✔️,✔️,252,1224,TitaniumWaraxe
Tome of Infinite Wisdom item sprite,Tome of Infinite Wisdom,36,Magic,9,4%,25,Pink (Rarity level: 5),✔️,✔️,1,3852,BookStaff
Topaz Staff item sprite,Topaz Staff,16,Magic,3.5,4%,36,White (Rarity level: 0),❌,❌,6,740,TopazStaff
Toxic Flask item sprite,Toxic Flask,52,Magic,4,4%,45,Yellow (Rarity level: 8),❌,✔️,10,3105,ToxicFlask
Toxikarp item sprite,Toxikarp,43,Ranged,3,4%,10,Pink (Rarity level: 5),✔️,✔️,4,3210,Toxikarp
Tragic Umbrella item sprite,Tragic Umbrella,15,Melee,5,4%,22,Green (Rarity level: 2),❌,❌,2,4707,TragicUmbrella
Trident item sprite,Trident,14,Melee,6,4%,31,Blue (Rarity level: 1),❌,❌,20,277,Trident
Trimarang item sprite,Trimarang,21,Melee,4.5,4%,20,Orange (Rarity level: 3),✔️,❌,2,5298,Trimarang
True Copper Shortsword item sprite,True Copper Shortsword,190,Melee,6.5,14%,30,Red (Rarity level: 10),✔️,✔️,20,5669,TrueCopperShortsword
True Excalibur item sprite,True Excalibur,72,Melee,4.5,4%,18,Yellow (Rarity level: 8),✔️,✔️,10,674,TrueExcalibur
True Night's Edge item sprite,True Night's Edge,70,Melee,4.75,4%,32,Yellow (Rarity level: 8),✔️,✔️,10,675,TrueNightsEdge
Tsunami item sprite,Tsunami,53,Ranged,2,4%,24,Yellow (Rarity level: 8),✔️,✔️,5,2624,Tsunami
Tungsten Axe item sprite,Tungsten Axe,7,Melee,4.5,4%,26,White (Rarity level: 0),✔️,❌,12,3488,TungstenAxe
Tungsten Bow item sprite,Tungsten Bow,10,Ranged,0,4%,26,White (Rarity level: 0),❌,❌,1050,3486,TungstenBow
Tungsten Broadsword item sprite,Tungsten Broadsword,14,Melee,6,4%,19,White (Rarity level: 0),❌,❌,1350,3490,TungstenBroadsword
Tungsten Hammer item sprite,Tungsten Hammer,9,Melee,5.5,4%,28,White (Rarity level: 0),✔️,❌,12,3487,TungstenHammer
Tungsten Pickaxe item sprite,Tungsten Pickaxe,6,Melee,2,4%,21,White (Rarity level: 0),✔️,❌,15,3491,TungstenPickaxe
Tungsten Shortsword item sprite,Tungsten Shortsword,10,Melee,4,4%,11,White (Rarity level: 0),❌,❌,1050,3489,TungstenShortsword
Umbrella item sprite,Umbrella,10,Melee,5,4%,22,Blue (Rarity level: 1),❌,❌,20,946,Umbrella
Unholy Trident item sprite,Unholy Trident,88,Magic,6.5,4%,17,Light Purple (Rarity level: 6),✔️,✔️,10,683,UnholyTrident
Unholy Water item sprite,Unholy Water,20,-,3,-,15,Orange (Rarity level: 3),❌,❌,20,423,UnholyWater
Uzi item sprite,Uzi,30,Ranged,3.5,4%,9,Lime (Rarity level: 7),✔️,✔️,7,1265,Uzi
Valkyrie Yoyo item sprite,Valkyrie Yoyo,70,Melee,4.5,4%,25,Cyan (Rarity level: 9),❌,✔️,4,3288,ValkyrieYoyo
Valor item sprite,Valor,28,Melee,3.85,4%,25,Orange (Rarity level: 3),❌,❌,175,3317,Valor
Vampire Frog Staff item sprite,Vampire Frog Staff,11,Summon,5,-,36,Orange (Rarity level: 3),✔️,❌,1,4273,VampireFrogStaff
Vampire Knives item sprite,Vampire Knives,29,Melee,2.75,4%,16,Yellow (Rarity level: 8),✔️,✔️,20,1569,VampireKnives
Vasculash item sprite,Vasculash,19,Summon,1.25,-,30,Blue (Rarity level: 1),❌,❌,1,5475,CrimsonWhip
Venom Staff item sprite,Venom Staff,44,Magic,7,4%,30,Lime (Rarity level: 7),✔️,✔️,7,2188,VenomStaff
Venus Magnum item sprite,Venus Magnum,50,Ranged,5.5,4%,9,Lime (Rarity level: 7),✔️,✔️,5,1255,VenusMagnum
Vilethorn item sprite,Vilethorn,10,Magic,1,4%,28,Blue (Rarity level: 1),❌,❌,150  / 20,64,Vilethorn
Volcano item sprite,Volcano,40,Melee,6.5,4%,40,Orange (Rarity level: 3),❌,❌,54,121,FieryGreatsword
Vortex Axe item sprite,Vortex Axe,100,Melee,6,4%,25,Red (Rarity level: 10),✔️,✔️,6,2772,VortexAxe
Vortex Beater item sprite,Vortex Beater,50,Ranged,2,4%,20 (Very fast),,,,,3475,VortexBeater
(see notes for more info),Red (Rarity level: 10),✔️,✔️,10,,,,,,,,
Vortex Chainsaw item sprite,Vortex Chainsaw,80,Melee,4,4%,15,Red (Rarity level: 10),❌,✔️,6,2773,VortexChainsaw
Vortex Drill item sprite,Vortex Drill,50,Melee,0.5,4%,15,Red (Rarity level: 10),❌,✔️,7,2774,VortexDrill
Vortex Hamaxe item sprite,Vortex Hamaxe,60,Melee,7,4%,28,Red (Rarity level: 10),✔️,✔️,5,3523,LunarHamaxeVortex
Vortex Hammer item sprite,Vortex Hammer,110,Melee,7,4%,30,Red (Rarity level: 10),✔️,✔️,8,2775,VortexHammer
Vortex Pickaxe item sprite,Vortex Pickaxe,80,Melee,5.5,4%,12,Red (Rarity level: 10),✔️,✔️,7,2776,VortexPickaxe
Vulgar Display of Flower item sprite,Vulgar Display of Flower,75,Summon,2,-,30,Lime (Rarity level: 7),❌,✔️,6,5477,FlowerWhip
Waffle's Iron item sprite,Waffle's Iron,50,Melee,4.75,4%,23,Pink (Rarity level: 5),✔️,✔️,3,5382,WaffleIron
Wand of Frosting item sprite,Wand of Frosting,15,Magic,0,14%,26,Blue (Rarity level: 1),❌,❌,15,5147,WandofFrosting
Wand of Sparking item sprite,Wand of Sparking,14,Magic,0,14%,26,Blue (Rarity level: 1),❌,❌,20,3069,WandofSparking
War Axe of the Night item sprite,War Axe of the Night,20,Melee,6,4%,30,Blue (Rarity level: 1),✔️,❌,27,45,WarAxeoftheNight
Wasp Gun item sprite,Wasp Gun,31,Magic,0.25,4%,18,Yellow (Rarity level: 8),✔️,✔️,10,1155,WaspGun
Water Bolt item sprite,Water Bolt,19,Magic,5,4%,17,Green (Rarity level: 2),✔️,❌,150,165,WaterBolt
Weather Pain item sprite,Weather Pain,13,Magic,1,4%,45,Green (Rarity level: 2),❌,❌,150,5118,WeatherPain
Wet Bomb item sprite,Wet Bomb,100,-,12,-,25,Blue (Rarity level: 1),❌,❌,5,4824,WetBomb
White Paper Airplane item sprite,White Paper Airplane,4,Ranged,2,4%,17,White (Rarity level: 0),❌,❌,10,4344,PaperAirplaneB
White Phaseblade item sprite,White Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,202,WhitePhaseblade
White Phasesaber item sprite,White Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3768,WhitePhasesaber
Wooden Boomerang item sprite,Wooden Boomerang,10,Melee,5,4%,20,Blue (Rarity level: 1),❌,❌,20,284,WoodenBoomerang
Wooden Bow item sprite,Wooden Bow,4,Ranged,0,4%,30,White (Rarity level: 0),❌,❌,20,39,WoodenBow
Wooden Hammer item sprite,Wooden Hammer,2,Melee,5.5,4%,37,White (Rarity level: 0),✔️,❌,10,196,WoodenHammer
Wooden Sword item sprite,Wooden Sword,7,Melee,5,4%,20,White (Rarity level: 0),❌,❌,20,24,WoodenSword
Wooden Yoyo item sprite,Wooden Yoyo,9,Melee,2.5,4%,25,White (Rarity level: 0),❌,❌,1,3278,WoodYoyo
Xeno Staff item sprite,Xeno Staff,36,Summon,2,-,36,Yellow (Rarity level: 8),✔️,✔️,10,2749,XenoStaff
Xenopopper item sprite,Xenopopper,45,Ranged,3,4%,21,Yellow (Rarity level: 8),✔️,✔️,10,2797,Xenopopper
Yelets item sprite,Yelets,60,Melee,3.1,4%,25,Lime (Rarity level: 7),❌,✔️,5,3286,Yelets
Yellow Phaseblade item sprite,Yellow Phaseblade,26,Melee,3,4%,18,Blue (Rarity level: 1),✔️,❌,54,203,YellowPhaseblade
Yellow Phasesaber item sprite,Yellow Phasesaber,50,Melee,3,4%,16,Light Red (Rarity level: 4),✔️,✔️,1,3769,YellowPhasesaber
Yellow Rocket item sprite,Yellow Rocket,-1,-,0,-,15,White (Rarity level: 0),✔️,✔️,3,973,YellowRocket
Zenith item sprite,Zenith,190,Melee,6.5,14%,30,Red (Rarity level: 10),✔️,✔️,20,4956,Zenith
Zombie Arm item sprite,Zombie Arm,15,Melee,5.5,4%,22,White (Rarity level: 0),✔️,❌,4,1304,ZombieArm
